9;67;2;1.5;2;3;1.5
9;22;2;1.5;2;0;0
9;19;4;2.5;4;2;0.5
9;11;1;1;1;0;0
9;21;2;1.5;2;3;1.5
9;13;4;2.5;4;0;0
9;15;3;2;3;0;0
9;11;3;2;3;0;0
9;23;1;1;1;6;6
9;20;1;1;1;2;2
12;41;3;2;3;6;2
12;30;4;2.5;4;2;0.5
12;27;1;1;1;4;4
12;34;6;1.8333333333333333;3;4;0.6666666666666666
12;40;3;2;3;4;1.3333333333333333
12;31;1;1;1;5;5
12;41;2;1.5;2;7;3.5
12;40;1;1;1;4;4
12;48;4;2.5;4;5;1.25
12;34;1;1;1;5;5
16;48;14;5.214285714285714;8;3;0.21428571428571427
16;39;5;3;5;4;0.8
16;33;4;2.5;4;6;1.5
16;34;6;3.5;6;5;0.8333333333333334
16;41;3;2;3;6;2
16;798;276;4.489130434782608;8;4;0.014492753623188406
16;67;4;2.5;4;6;1.5
16;79;6;3.5;6;7;1.1666666666666667
16;48;4;2.5;4;7;1.75
16;58;4;2.5;4;7;1.75
20;66;11;4.7272727272727275;7;5;0.45454545454545453
20;60;3;2;3;7;2.3333333333333335
20;150;43;6.976744186046512;10;7;0.16279069767441862
20;62;6;3.5;6;11;1.8333333333333333
20;42;6;3.5;6;9;1.5
20;8160;6015;6.11571072319202;11;6;0.000997506234413965
20;117;94;5.159574468085107;8;6;0.06382978723404255
20;47;4;2.5;4;8;2
20;56;6;3.5;6;6;1
20;73;14;5;7;10;0.7142857142857143
25;65;7;4;7;10;1.4285714285714286
25;63;8;4.5;8;8;1
25;161;8;4.5;8;12;1.5
25;61;8;4.5;8;10;1.25
25;108;28;8.285714285714286;11;11;0.39285714285714285
25;152;53;5.679245283018868;9;4;0.07547169811320754
25;61;7;4;7;5;0.7142857142857143
25;1946;823;8.422843256379101;12;8;0.009720534629404616
25;78;8;4.5;8;9;1.125
25;76;8;4.5;8;8;1
30;238;10;5.5;10;8;0.8
30;103;9;5;9;11;1.2222222222222223
30;163;10;5.5;10;13;1.3
30;143;9;5;9;11;1.2222222222222223
30;80;8;4.5;8;10;1.25
30;67;11;6;11;8;0.7272727272727273
30;257058;237197;9.132514323536975;16;4;1.6863619691648715e-05
30;122;9;5;9;14;1.5555555555555556
30;76;16;6.625;10;7;0.4375
30;6901;5845;9.7464499572284;15;8;0.0013686911890504706
30;503;191;7.727748691099476;10;8;0.041884816753926704
30;109;31;7.225806451612903;11;10;0.3225806451612903
30;69;8;4.5;8;13;1.625
30;5967;4551;10.39969237530213;15;2;0.00043946385409800046
30;18531;11875;8.786694736842104;13;9;0.0007578947368421053
30;352;130;7.569230769230769;11;10;0.07692307692307693
30;18100;14010;9.553319057815846;15;3;0.00021413276231263382
30;440;198;6.904040404040404;10;6;0.030303030303030304
30;85;10;5.5;10;8;0.8
30;82;8;4.5;8;12;1.5
30;134;33;7.909090909090909;11;9;0.2727272727272727
30;135;15;6;9;12;0.8
30;216;22;7.2272727272727275;10;7;0.3181818181818182
30;122;9;5;9;5;0.5555555555555556
30;333;62;6.887096774193548;9;11;0.1774193548387097
36;117;12;6.5;12;16;1.3333333333333333
36;103;14;7.5;14;11;0.7857142857142857
36;26747;25364;12.220982494874626;19;0;0
36;1385;1332;10.901651651651651;15;8;0.006006006006006006
36;816149;561597;11.656201867175216;18;7;1.2464454048009516e-05
36;517565;359338;10.82534827933589;18;5;1.3914476064318274e-05
36;232;131;11.86259541984733;16;13;0.09923664122137404
36;305;22;9.227272727272727;14;11;0.5
36;253;140;8.735714285714286;12;8;0.05714285714285714
36;634488;479009;11.927216398856807;20;2;4.175286894400732e-06
36;158;13;7;13;12;0.9230769230769231
36;102;10;5.5;10;12;1.2
36;101;14;7.5;14;9;0.6428571428571429
36;140;12;6.5;12;16;1.3333333333333333
36;1051;672;10.970238095238095;14;11;0.01636904761904762
36;473;339;11.041297935103245;14;9;0.02654867256637168
36;2354802;1962446;12.26448931588436;20;4;2.0382726454638753e-06
36;35893;30393;13.2442996742671;19;5;0.00016451156516303096
36;119206;87643;10.175290667822873;15;13;0.0001483290165786201
36;266;11;6;11;14;1.2727272727272727
36;98;13;7;13;13;1
36;9651;7992;10.021396396396396;14;6;0.0007507507507507507
36;760;416;10.252403846153847;14;9;0.021634615384615384
36;120;11;6;11;15;1.3636363636363635
36;1172057;879063;10.951903333435714;18;7;7.963024265610087e-06
42;268;12;6.5;12;15;1.25
42;22878;15845;13.627769012306722;19;8;0.0005048911328494793
42;25648;19901;12.959399025174614;19;8;0.00040198984975629365
42;100;14;7.5;14;16;1.1428571428571428
42;120;12;6.5;12;18;1.5
42;156;12;6.5;12;14;1.1666666666666667
42;123;13;7;13;12;0.9230769230769231
42;358;15;8;15;18;1.2
42;2060;1312;10.586890243902438;16;18;0.013719512195121951
42;2797;2184;13.199175824175825;18;14;0.00641025641025641
42;194782;180479;12.356800514187245;19;5;2.7704054211293282e-05
42;6327;4937;14.213084869353859;19;7;0.0014178651002633178
42;1065;709;10.69111424541608;14;11;0.015514809590973202
42;2581298;1527474;13.5162032217897;20;4;2.6187025114666435e-06
42;154;24;11.166666666666666;18;13;0.5416666666666666
42;285;81;15.074074074074074;19;6;0.07407407407407407
42;13470351;9141090;14.77429945444143;22;3;3.281884326705021e-07
42;20652;14506;14.820143388942506;19;6;0.00041362194953812215
42;106;15;8;15;9;0.6
42;169;23;10.173913043478262;16;12;0.5217391304347826
42;794499;532606;14.351398594833704;21;6;1.1265363138980786e-05
42;159;17;9;17;13;0.7647058823529411
