9;63;2;1.5;2
9;21;2;1.5;2
9;19;4;2.5;4
9;12;1;1;1
9;33;2;1.5;2
9;14;4;2.5;4
9;15;3;2;3
9;11;3;2;3
9;23;1;1;1
9;20;1;1;1
12;42;3;2;3
12;30;4;2.5;4
12;27;1;1;1
12;33;6;1.8333333333333333;3
12;39;3;2;3
12;29;1;1;1
12;31;2;1.5;2
12;32;1;1;1
12;45;4;2.5;4
12;33;1;1;1
16;47;14;5.214285714285714;8
16;55;5;3;5
16;29;4;2.5;4
16;30;6;3.5;6
16;40;3;2;3
16;565;294;4.506802721088436;8
16;58;4;2.5;4
16;94;6;3.5;6
16;50;4;2.5;4
16;62;4;2.5;4
20;57;10;4.6;7
20;58;3;2;3
20;180;61;6.885245901639344;10
20;61;6;3.5;6
20;41;6;3.5;6
20;7194;5624;6.07201280227596;11
20;122;94;5.159574468085107;8
20;50;4;2.5;4
20;63;6;3.5;6
20;73;14;5;7
25;68;7;4;7
25;61;8;4.5;8
25;129;8;4.5;8
25;95;8;4.5;8
25;104;20;7.6;11
25;1188;973;7.083247687564234;11
25;65;7;4;7
25;1406;823;8.422843256379101;12
25;80;8;4.5;8
25;80;12;5.5;8
30;82;12;6.166666666666667;10
30;104;9;5;9
30;94;10;5.5;10
30;98;9;5;9
30;81;8;4.5;8
30;93;11;6;11
30;2873;2430;9.540740740740741;13
30;109;9;5;9
30;63;16;6.625;10
30;14610;12854;9.695269954877858;15
36;144;12;6.5;12
36;105;14;7.5;14
36;27869;25364;12.220982494874626;19
36;710;528;10.06060606060606;14
36;240762;163155;11.56544390303699;17
36;3332978;2407326;11.771729711721637;19
36;286;131;11.86259541984733;16
36;122;21;9;13
36;274;152;8.848684210526315;12
36;711626;479009;11.927216398856807;20
42;268;12;6.5;12
42;21057;14133;13.579141017476827;18
42;3879;3032;12.516490765171504;17
42;106;14;7.5;14
42;135;12;6.5;12
42;209;12;6.5;12
42;176;13;7;13
42;180;15;8;15
42;1096;739;11.250338294993234;16
42;1496;1056;12.806818181818182;17
