9;51;2;1.5;2
9;22;3;2;3
9;11;3;2;3
9;10;2;1.5;2
9;19;3;2;3
9;10;2;1.5;2
9;14;2;1.5;2
9;18;3;2;3
9;13;2;1.5;2
9;16;2;1.5;2
12;16;3;2;3
12;22;2;1.5;2
12;23;4;2.5;4
12;19;3;2;3
12;22;2;1.5;2
12;54;4;2.5;4
12;28;5;3;5
12;33;4;2.5;4
12;19;1;1;1
12;16;3;2;3
16;28;6;3.5;6
16;32;5;3;5
16;50;6;3.5;6
16;32;4;2.5;4
16;36;5;3;5
16;26;4;2.5;4
16;31;9;5;9
16;23;4;2.5;4
16;33;3;2;3
16;35;4;2.5;4
20;42;6;3.5;6
20;39;5;3;5
20;73;4;2.5;4
20;47;5;3;5
20;50;6;3.5;6
20;46;5;3;5
20;240;225;6.315555555555555;10
20;121;4;2.5;4
20;49;5;3;5
20;32;3;2;3
25;62;10;5.5;10
25;88;8;4.5;8
25;101;7;4;7
25;56;8;4.5;8
25;60;8;4.5;8
25;38;6;3.5;6
25;68;9;5;9
25;346;236;6.389830508474576;10
25;65;7;4;7
25;36;5;3;5
30;92;12;6.5;12
30;53;10;5.5;10
30;65;9;5;9
30;75;9;5;9
30;642;366;9.210382513661202;13
30;161;25;8.24;12
30;69;10;5.5;10
30;78;9;5;9
30;69;9;5;9
30;136;10;5.5;10
30;116;7;4;7
30;89;8;4.5;8
30;68;8;4.5;8
30;6346;3989;9.860616695913762;14
30;150;10;5.5;10
30;96;32;8.5;12
30;231;102;8.450980392156863;10
30;82;9;5;9
30;137;45;7.155555555555556;10
30;1454;965;8.923316062176166;13
30;121;8;4.5;8
30;73;8;4.5;8
30;141403;100267;8.686397319157848;14
30;75;10;5.5;10
30;93;11;6;11
36;77;11;6;11
36;117;15;7.333333333333333;12
36;142;12;6.5;12
36;114;59;10.610169491525424;14
36;82;13;7;13
36;505;261;12.448275862068966;15
36;5793;4320;10.892824074074074;17
36;229;13;7;13
36;173;12;6.5;12
36;67;14;7.5;14
36;120;13;7;13
36;110;12;6.5;12
36;87;13;7;13
36;2683;2267;11.62549625055139;16
36;95;14;7.5;14
36;219;22;9.954545454545455;15
36;79;12;6.5;12
36;70;11;6;11
36;94;12;6.5;12
36;89;13;7;13
36;114;12;6.5;12
36;2712;1703;12.32824427480916;16
36;102;13;7;13
36;113;12;6.5;12
36;80;14;7.071428571428571;12
42;257;14;7.5;14
42;116;14;7.5;14
42;116;15;8;15
42;187;14;7.5;14
42;214;16;8.5;16
42;164;29;10.10344827586207;16
42;118;15;8;15
42;109;13;7;13
42;194;81;12;15
42;409;99;15.797979797979798;19
42;180;64;10.1875;14
42;106;16;8.5;16
42;116;13;7;13
42;99;15;7.6;13
42;167;15;8;15
42;82;13;7;13
42;223;112;9.446428571428571;15
42;139;15;8;15
42;104;21;10.714285714285714;19
42;108;24;11.125;17
42;164;17;9;17
42;109;17;9;17
42;98;17;9;17
42;112;15;8;15
42;102;49;13.857142857142858;20
49;199;19;10;19
49;262;38;14.31578947368421;21
49;191;19;10;19
49;189;17;9;17
49;139;36;11.972222222222221;17
49;178;19;10;19
49;199;55;14.272727272727273;20
49;170;20;9.8;16
49;111;17;8.941176470588236;16
49;156;20;10.5;20
49;238;16;8.5;16
49;187;19;10;19
49;672127;570914;18.898357721127876;26
49;469;18;9.166666666666666;17
49;189;18;9.5;18
49;214;17;9;17
49;230;13;7;13
49;207;21;10.428571428571429;18
49;226;19;10;19
49;186;22;10.409090909090908;17
49;6291;4102;15.83373963920039;20
49;27898;27476;17.62399912651041;24
49;878;409;18.244498777506113;22
49;209;17;9;17
49;273;21;10.238095238095237;19
9;42;2;1.5;2
9;51;2;1.5;2
9;33;4;2.5;4
9;9;1;1;1
9;17;2;1.5;2
9;10;4;2.5;4
9;12;3;2;3
9;9;3;2;3
9;18;1;1;1
9;16;1;1;1
12;33;3;2;3
12;26;4;2.5;4
12;20;1;1;1
12;27;6;1.8333333333333333;3
12;31;3;2;3
12;24;1;1;1
12;17;2;1.5;2
12;26;1;1;1
12;69;4;2.5;4
12;27;1;1;1
16;37;14;5.214285714285714;8
16;30;5;3;5
16;42;4;2.5;4
16;25;6;3.5;6
16;32;3;2;3
16;487;294;4.506802721088436;8
16;60;4;2.5;4
16;60;6;3.5;6
16;66;4;2.5;4
16;94;4;2.5;4
20;46;10;4.6;7
20;47;3;2;3
20;143;61;6.885245901639344;10
20;49;6;3.5;6
20;33;6;3.5;6
20;7140;5624;6.07201280227596;11
20;163;94;5.159574468085107;8
20;66;4;2.5;4
20;59;6;3.5;6
20;73;14;5;7
25;98;7;4;7
25;81;8;4.5;8
25;100;8;4.5;8
25;59;8;4.5;8
25;136;20;7.6;11
25;1525;973;7.083247687564234;11
25;135;7;4;7
25;1997;823;8.422843256379101;12
25;105;8;4.5;8
25;111;12;5.5;8
30;89;12;6.166666666666667;10
30;146;9;5;9
30;94;10;5.5;10
30;136;9;5;9
30;80;8;4.5;8
30;291;11;6;11
30;7565;2430;9.540740740740741;13
30;109;9;5;9
30;69;16;6.625;10
30;19541;12854;9.695269954877858;15
30;56606;34980;8.649685534591194;14
30;100;31;7.225806451612903;11
30;59;12;6.333333333333333;11
30;5915;4551;10.39969237530213;15
30;24106;11861;8.75701880111289;13
30;394;142;7.690140845070423;12
30;7615;3697;10.2899648363538;15
30;350;195;6.938461538461539;11
30;91;10;5.5;10
30;91;8;4.5;8
30;3117;2608;10.470092024539877;15
30;118;15;6;9
30;111;10;5.5;10
30;70;9;5;9
30;205;65;6.953846153846154;9
36;111;12;6.5;12
36;118;14;7.5;14
36;29580;25364;12.220982494874626;19
36;609;528;10.06060606060606;14
36;274669;163155;11.56544390303699;17
36;3366114;2407326;11.771729711721637;19
36;260;131;11.86259541984733;16
36;113;21;9;13
36;283;152;8.848684210526315;12
36;683623;479009;11.927216398856807;20
36;132;13;7;13
36;85;10;5.5;10
36;99;14;7.5;14
36;137;12;6.5;12
36;11021;7939;11.664189444514422;16
36;405;344;11.017441860465116;14
36;2018172;1806809;12.338739733972988;21
36;1296;965;11.94300518134715;17
36;93136;80248;10.196802412521185;15
36;161;11;6;11
36;71;13;7;13
36;8934;7991;10.02014766612439;14
36;630;416;10.252403846153847;14
36;149;11;6;11
36;1790235;1520385;11.001460814201666;18
42;301;12;6.5;12
42;19850;14133;13.579141017476827;18
42;3986;3032;12.516490765171504;17
42;96;14;7.5;14
42;118;12;6.5;12
42;153;12;6.5;12
42;154;13;7;13
42;181;15;8;15
42;994;739;11.250338294993234;16
42;1372;1056;12.806818181818182;17
42;77;14;7.5;14
42;6401;4937;14.213084869353859;19
42;1611;798;10.649122807017545;14
42;1040997;678650;13.408503646946142;20
42;153;24;11.166666666666666;18
42;36039;30575;14.325134914145544;21
42;9410299;6967628;15.123443444454841;22
42;89630;64884;15.117810245977436;20
42;159;15;8;15
42;112;14;7.5;14
42;782659;648412;14.439603215239693;22
42;186;17;9;17
42;458421;379006;12.340675345509043;19
42;35951;25576;12.48510322177041;18
42;17417;8497;12.487701541720607;17
49;231;19;10;19
49;157;19;10;19
49;193;19;10;19
49;18571;14592;16.450246710526315;21
49;213504430;177737949;16.459723213077023;26
49;38358372;24160267;15.058322782608322;23
49;14089;10824;16.483462675535847;22
49;964208;478256;15.284623716168747;23
49;2740790;1593950;16.404524608676557;24
49;294;17;9;17
49;443;271;16.59040590405904;20
49;10209443;5231505;14.664403646751747;23
49;3703557;2390907;16.743378140596853;25
49;100070576;70497632;14.60126345804069;22
49;163852937;98920400;14.445555557802031;26
49;308;18;9.5;18
49;232;57;11.105263157894736;17
49;25105;16876;16.94098127518369;23
49;395946;303207;13.932049721807214;20
49;466;255;15.027450980392157;21
49;5880684;3753257;16.477273472080384;24
49;391;163;16.41717791411043;20
49;249;119;15.277310924369749;19
49;2336129;1448787;15.417014371332709;23
49;448;15;8;15
