9;46;2;1.5;2
9;20;3;2;3
9;10;3;2;3
9;9;2;1.5;2
9;17;3;2;3
9;28;2;1.5;2
9;13;2;1.5;2
9;17;3;2;3
9;13;2;1.5;2
9;15;2;1.5;2
12;15;3;2;3
12;20;2;1.5;2
12;21;4;2.5;4
12;18;3;2;3
12;20;2;1.5;2
12;23;4;2.5;4
12;25;5;3;5
12;17;4;2.5;4
12;17;1;1;1
12;14;3;2;3
16;26;6;3.5;6
16;30;5;3;5
16;43;6;3.5;6
16;48;4;2.5;4
16;46;5;3;5
16;24;4;2.5;4
16;28;9;5;9
16;21;4;2.5;4
16;31;3;2;3
16;67;4;2.5;4
20;38;6;3.5;6
20;36;5;3;5
20;48;4;2.5;4
20;42;5;3;5
20;46;6;3.5;6
20;43;5;3;5
20;225;225;6.315555555555555;10
20;31;4;2.5;4
20;43;5;3;5
20;34;3;2;3
25;106;10;5.5;10
25;60;8;4.5;8
25;95;7;4;7
25;51;8;4.5;8
25;55;8;4.5;8
25;34;6;3.5;6
25;62;9;5;9
25;351;258;6.453488372093023;10
25;345;7;4;7
25;348;5;3;5
30;85;12;6.5;12
30;49;10;5.5;10
30;62;9;5;9
30;69;9;5;9
30;504;389;9.313624678663238;13
30;129;25;8.24;12
30;81;10;5.5;10
30;79;13;6.230769230769231;10
30;112;9;5;9
30;95;10;5.5;10
30;53;7;4;7
30;93;8;4.5;8
30;66;8;4.5;8
30;499;300;10.753333333333334;14
30;117;10;5.5;10
30;76;32;8.5;12
30;224;102;8.450980392156863;10
30;85;9;5;9
30;185;45;7.155555555555556;10
30;7709;2005;9.343142144638405;13
30;138;8;4.5;8
30;86;8;4.5;8
30;61220;30283;8.56371561602219;14
30;80;10;5.5;10
30;98;11;6;11
36;85;11;6;11
36;119;15;7.333333333333333;12
36;111;12;6.5;12
36;183;59;10.610169491525424;14
36;88;13;7;13
36;602;314;12.57643312101911;15
36;5861;3305;11.10287443267776;17
36;125;13;7;13
36;97;12;6.5;12
36;74;14;7.5;14
36;117;13;7;13
36;144;12;6.5;12
36;5280;13;7;13
36;13662;11265;11.160763426542388;17
36;142;14;7.5;14
36;263;22;9.954545454545455;15
36;107;12;6.5;12
36;90;11;6;11
36;114;12;6.5;12
36;97;13;7;13
36;954;12;6.5;12
36;6044;3697;11.886123884230457;16
36;117;13;7;13
36;106;12;6.5;12
36;85;14;7.071428571428571;12
42;160;14;7.5;14
42;122;14;7.5;14
42;178;15;8;15
42;190;14;7.5;14
42;137;16;8.5;16
42;167;29;10.10344827586207;16
42;149;15;8;15
42;164;13;7;13
42;170;70;11.885714285714286;16
42;309;99;15.797979797979798;19
42;262;94;10.414893617021276;14
42;98;16;8.5;16
42;160;13;7;13
42;389;15;7.6;13
42;122;15;8;15
42;91;13;7;13
42;404;112;9.446428571428571;15
42;159;15;8;15
42;117;21;10.714285714285714;19
42;112;24;11.125;17
42;221;17;9;17
42;162;17;9;17
42;136;17;9;17
42;167;15;8;15
42;183;49;13.857142857142858;20
49;215;19;10;19
49;300;39;14.41025641025641;21
49;164;19;10;19
49;560;17;9;17
49;131;36;11.972222222222221;17
49;140;19;10;19
49;189;60;14.55;20
49;190;20;9.8;16
49;325;17;8.941176470588236;16
49;114;20;10.5;20
49;437;16;8.5;16
49;384;19;10;19
49;55001;26970;18.425250278086764;24
49;189;18;9.166666666666666;17
49;409;18;9.5;18
49;318;17;9;17
49;2410;13;7;13
49;176;21;10.428571428571429;18
49;189;19;10;19
49;146;22;10.409090909090908;17
49;13430;8446;15.544399715841818;20
49;27308;27476;17.62399912651041;24
49;818;69;16.217391304347824;20
49;195;17;9;17
49;213;21;10.238095238095237;19
56;191;20;10.5;20
56;188;19;10;19
56;219;20;10.5;20
56;171;24;11.875;21
56;5244;24;12.5;24
56;244;18;9.5;18
56;211;20;10.5;20
56;191;19;10;19
56;155;21;11;21
56;128266;100050;18.67127436281859;26
56;132;18;9.5;18
56;147;19;10;19
56;182;19;10;19
56;1649;1087;19.452621895124196;23
56;179;58;15.948275862068966;21
56;234;39;16.025641025641026;23
56;222;21;11;21
56;198;21;11;21
56;271;85;15.576470588235294;21
56;215;20;10.5;20
